# Lines starting with #' are comments. Comment lines must form a continuous 
# block at the beginning of this file. 
# The last comment line is not really a comment. It must contain the names of 
# the variables that are used in the code. 
# The data has to start in the following line.        
# 
# List of variables: 
# TS: timestep 
# OHair1: OH-readical conc. based factor to multiply with avg. degradation rate in upper air 
# OHair2: OH-readical conc. based factor to multiply with avg. degradation rate in lower air 
# Based on data from: 
# Spivakovsky, C. M., Logan J. A., Montzka S. A., Balkanski Y. J., Foreman-Fowler M., 
# Jones D. B. A., Horowitz L.W., Fusco A. C., Brenninkmeijer C. A. M., Prather M. J., 
# Wofsy S. C., McElroy M. B., 2000, Three-dimensional climatological distribution of 
# tropospheric OH: Update and evaluation. Journal of geophysical research, Vol. 105, 
# No. D7, pp 8931-8980. 
# 
# precip: monthly average precipitation [m/h] 
# stwet: average length of rain events [h] 
# stdry: average length of dry spells [h] 
# tair1: temperature upper air [K] 
# tair2: temperature lower air [K] 
# tocean: temperature ocean surface [K] 
# tland: temperature land surface [K] 
# h1: Average upper air compartment height [m] 
# h2: Average lower air compartment height [m] 
# h5: Average ocean compartment depth [m] 
# runoffwater: water runoff 
# tspe: time since plowing event [month] 
# perc8: percentage of ocean covered by Sea Ice [-] 
# 
#CELL TS OHair1 OHair2 precip stwet stdry tair1 tair2 tocean tland h1 h2 h5 mixing12 mixing21 runoff6water tspe perc8 
48 2 0.0485113200445577 0.0338668292953555 3.98248760075148e-05 26.5807400941849 16.9505352020264 239.815549468994 253.580368804932 271.251359558105 246.872522735596 5070.26291503906 1103.78858642578 86.6600036621094 4.259903151 2.988952059 1.61655592956222e-07 2920 0.954738243103027
48 3 0.16544684196923 0.115119584673036 4.14157450222774e-05 24.5201070070267 22.422958278656 240.959491729736 255.795725250244 271.25055847168 251.698006439209 5094.01979980469 1112.54000854492 86.9978099822998 3.782873741 2.644267179 3.59318770803974e-07 3650 0.955101802825928
48 4 0.413621511740321 0.381257267076795 4.27602058107368e-05 17.9629761457443 13.5973965644836 243.545652770996 260.57507019043 271.250395202637 259.913764953613 5146.82866210937 1132.45878295898 86.2460300445557 3.97068071 2.476877955 6.47837205605128e-06 4380 0.938234252929688
48 5 0.890018627012467 0.914756696522066 5.21008655687183e-05 17.944594335556 9.0754469871521 248.966479492187 269.082096862793 271.255744934082 270.703117370605 5249.31828613281 1169.6127746582 74.0815116882324 3.990401491 2.616735489 4.68497446490801e-05 5110 0.862457973480225
48 6 1.1471635123753 0.711612171324872 6.25807469077699e-05 19.5637415885925 13.1968162059784 253.22700881958 275.702903747559 271.465353393555 279.055551147461 5332.528515625 1199.52028808594 58.9239393234253 4.031204567 2.11625928 4.90179039047689e-06 5840 0.717987539291382
48 7 1.13412791659311 0.505476879311733 8.27233797826921e-05 23.8702561378479 12.1622787475586 255.979271697998 278.038285827637 272.247396850586 281.604090881348 5387.49765625 1210.01012573242 45.4055683135986 3.228825103 2.0 3.04156262984634e-06 6570 0.580770847320557
48 8 0.764146071049227 0.288823476106302 9.45593583492155e-05 27.334396982193 11.7805282592773 254.279357910156 275.156321716309 272.697241210937 278.320840454102 5355.50424804687 1196.83540039062 36.904732131958 3.145082331 2.462139277 4.12940228784464e-06 7300 0.532940975189209
48 9 0.351622921048826 0.168442187896623 8.00268704551854e-05 24.1046406269073 14.4310083866119 249.935962677002 269.264379882812 272.55754699707 271.044566345215 5270.34904785156 1170.15288085938 37.7430465698242 2.993184496 2.563688431 4.09320059588936e-06 8030 0.539265796661377
48 10 0.105044518234801 0.0625735694899231 6.5951036176557e-05 21.6904905796051 14.6073090791702 244.665256500244 261.812484741211 272.087754821777 260.110776519775 5168.82807617188 1137.45272827148 50.3605487823486 4.017072309 2.931102924 1.74024981021148e-06 8760 0.641142539978027
48 11 0.0179424727253894 0.0125034134437405 5.78311810113519e-05 31.6987437725067 13.4267884492874 240.356592559814 254.518326568604 271.578625488281 250.006837463379 5091.83115234375 1107.08961181641 62.9005508422852 3.835188703 2.710675163 7.38491292473498e-07 730 0.74330139541626
48 12 0.0048985214364203 0.00396687202333881 4.11136782986432e-05 30.7572730541229 13.2431361436844 238.656353759766 251.698983001709 271.34210357666 245.624145507812 5054.12138671875 1095.75592041016 74.4088371276855 3.968740772 2.370402032 2.40812737617446e-07 1460 0.859622852325439
