# Lines starting with #' are comments. Comment lines must form a continuous 
# block at the beginning of this file. 
# The last comment line is not really a comment. It must contain the names of 
# the variables that are used in the code. 
# The data has to start in the following line.        
# 
# List of variables: 
# TS: timestep 
# OHair1: OH-readical conc. based factor to multiply with avg. degradation rate in upper air 
# OHair2: OH-readical conc. based factor to multiply with avg. degradation rate in lower air 
# Based on data from: 
# Spivakovsky, C. M., Logan J. A., Montzka S. A., Balkanski Y. J., Foreman-Fowler M., 
# Jones D. B. A., Horowitz L.W., Fusco A. C., Brenninkmeijer C. A. M., Prather M. J., 
# Wofsy S. C., McElroy M. B., 2000, Three-dimensional climatological distribution of 
# tropospheric OH: Update and evaluation. Journal of geophysical research, Vol. 105, 
# No. D7, pp 8931-8980. 
# 
# precip: monthly average precipitation [m/h] 
# stwet: average length of rain events [h] 
# stdry: average length of dry spells [h] 
# tair1: temperature upper air [K] 
# tair2: temperature lower air [K] 
# tocean: temperature ocean surface [K] 
# tland: temperature land surface [K] 
# h1: Average upper air compartment height [m] 
# h2: Average lower air compartment height [m] 
# h5: Average ocean compartment depth [m] 
# runoffwater: water runoff 
# tspe: time since plowing event [month] 
# perc8: percentage of ocean covered by Sea Ice [-] 
# 
#CELL TS OHair1 OHair2 precip stwet stdry tair1 tair2 tocean tland h1 h2 h5 mixing12 mixing21 runoff6water tspe perc8 
672 7 2.0796420632288 2.35523724612418 0.000331439099827549 619.322580718994 1.55517472028732 269.217028808594 294.425825500488 301.266555786133 -999.99 5620.10500488281 1288.54508056641 61.2276231765747 3.953984977 11.141199205 0 2190 0
672 8 2.15439611408932 2.56711765075641 0.00029079417414323 558.068039703369 1.39818550348282 268.965888977051 294.053375244141 301.125094604492 -999.99 5614.40056152344 1286.58541259766 66.1175825119019 4.678532383 10.37908024 0 2920 0
672 9 2.44208235349357 2.66517345992463 0.000392567607523233 711.673957824707 0.152083337306976 268.830938720703 294.227792358398 301.311140441895 -999.99 5611.29428710937 1287.50941772461 60.5849996566772 4.683640084 15.76805169 0 3650 0
672 10 2.66425714481583 2.8329205218911 0.000462073893577326 705.127016448975 0.809475803375244 268.798229980469 294.564520263672 301.711460876465 -999.99 5610.20346679687 1289.3737487793 45.9242290496826 2.0 17.34602612 0 4380 0
672 11 2.6792078102223 2.78497791292201 0.000494026868836954 667.737083053589 1.32529764175415 268.894374084473 294.902967834473 302.13790435791 -999.99 5611.27358398438 1291.13103027344 37.8447758674622 5.486935295 16.94391089 0 5110 0
672 12 2.58406971641186 2.62275481995609 0.000499177099118242 680.842742538452 0.765322589874268 269.304734802246 295.35291595459 302.514498901367 -999.99 5620.61806640625 1293.62510375977 31.44615650177 2.0 16.24300588 0 5840 0
673 1 2.61834820548423 2.57045059706553 0.000269766068995523 283.756362533569 5.82289383411407 268.655169677734 294.044734191895 300.889822387695 -999.99 5605.25676269531 1286.64598388672 30.0645051002502 4.822979632 5.894944026 0 6570 0
673 2 2.60321936541392 2.45842621869169 0.000322269237512955 330.228410148621 7.06780123710632 268.940328979492 294.732392883301 301.528819274902 -999.99 5611.45026855469 1290.26185913086 29.1787261962891 4.502348108 7.665290138 0 7300 0
673 3 2.44418076724943 2.32988383541283 0.000324414316492039 335.439050292969 8.2075941324234 268.97336730957 294.473400878906 301.499371337891 -999.99 5613.22983398437 1288.87938232422 32.1025084495544 4.689153843 7.064838399 0 8030 0
673 4 2.05167152605176 2.10109358330066 0.000229246229955606 205.467593479157 6.063598716259 268.34268951416 293.548750305176 301.052885437012 -999.99 5599.185546875 1283.70186767578 39.5858226776123 5.473889963 3.397871515 0 8760 0
